回答ID,タイムスタンプ,役職,企業規模,業界,TaskFlowモバイルウェブ利用,モバイルウェブ満足度,ネイティブアプリ希望,モバイルの重要度,主なモバイル用途,追加料金の支払い意思,利用中の競合モバイルアプリ,追加コメント
1,2024-10-01 09:15:23,Product Manager,51-200,Technology,Yes,2,Yes,Critical,ステータスの簡易確認,Yes,Linear,"モバイルウェブが非常に遅い"
2,2024-10-01 09:22:45,Engineering Manager,201-500,Technology,Yes,1,Yes,Critical,オンコールのインシデント対応,Yes,Linear,"プッシュ通知が切実に必要"
3,2024-10-01 09:34:12,Designer,11-50,Design Agency,Yes,3,Yes,High,デザインへのフィードバック確認,Maybe,Asana,"モバイルでの画像表示が壊れている"
4,2024-10-01 09:41:33,Project Manager,51-200,Healthcare,No,N/A,Yes,Critical,患者フォローアップタスク,Yes,Monday,"HIPAAコンプライアンスが必要"
5,2024-10-01 09:55:01,CEO,1-10,Startup,Yes,2,Yes,Critical,移動中も常につながっていたい,Yes,Notion,"スマホで会社を経営しています"
6,2024-10-01 10:02:18,Operations Manager,201-500,Manufacturing,No,N/A,Yes,Critical,工場フロアのタスク管理,Yes,None,"作業員にデスクトップはありません"
7,2024-10-01 10:15:44,Product Manager,51-200,Fintech,Yes,2,Yes,High,スプリントの進捗確認,Yes,Asana,""
8,2024-10-01 10:23:56,Engineering Lead,11-50,Technology,Yes,3,Yes,Medium,デイリースタンドアップの準備,Maybe,Linear,"Linearのアプリの方がずっと良い"
9,2024-10-01 10:35:22,Scrum Master,201-500,Enterprise Software,Yes,1,Yes,High,リモートスタンドアップの進行,Yes,Jira,"アプリにエンタープライズSSOが必要"
10,2024-10-01 10:48:39,Designer,51-200,E-commerce,Yes,2,Yes,High,簡易承認,Yes,Figma,"画像処理の改善が必要"
11,2024-10-01 11:01:15,Product Manager,501-1000,Financial Services,Yes,2,Yes,Critical,クライアント会議の準備,Yes,Monday,"オフラインモードが不可欠"
12,2024-10-01 11:14:28,Founder,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,"アプリがないなんて信じられない"
13,2024-10-01 11:22:41,Engineering Manager,51-200,Technology,Yes,3,Yes,High,コードレビューのフォローアップ,Maybe,Linear,""
14,2024-10-01 11:35:59,Operations Lead,201-500,Logistics,No,N/A,Yes,Critical,ドライバーへのタスク割り当て,Yes,None,"ドライバーはスマホしか持っていない"
15,2024-10-01 11:48:12,Product Manager,11-50,SaaS,Yes,2,Yes,High,顧客フィードバックのトリアージ,Yes,Asana,""
16,2024-10-01 12:02:33,Project Coordinator,51-200,Construction,No,N/A,Yes,Critical,現場からの更新,Yes,Procore,"オフラインが切実に必要"
17,2024-10-01 12:15:47,Designer,11-50,Technology,Yes,2,Yes,Medium,デザインタスクの更新,Maybe,Asana,"ダークモードが欲しい"
18,2024-10-01 12:28:55,Engineering Manager,201-500,Technology,Yes,2,Yes,High,スプリントモニタリング,Yes,Linear,"プッシュ通知をお願いします"
19,2024-10-01 12:41:08,Product Manager,51-200,Healthcare,Yes,1,Yes,Critical,患者ケアの連携,Yes,Monday,"セキュリティが最重要"
20,2024-10-01 12:55:23,CEO,11-50,Agency,Yes,2,Yes,Critical,クライアントプロジェクトの監督,Yes,Asana,"エージェンシーは常にモバイル"
21,2024-10-01 13:08:41,Operations Manager,501-1000,Retail,No,N/A,Yes,Critical,店舗タスク管理,Yes,None,"店長にはモバイルが必要"
22,2024-10-01 13:22:15,Product Manager,51-200,Technology,Yes,3,Yes,High,ロードマップレビュー,Maybe,Notion,""
23,2024-10-01 13:35:29,Engineering Lead,11-50,Startup,Yes,2,Yes,High,オンコールのバグトリアージ,Yes,Linear,"Linearがエンジニアチームを獲得した"
24,2024-10-01 13:48:44,Project Manager,201-500,Events,Yes,1,Yes,Critical,イベント当日の調整,Yes,Asana,"イベント = WiFiなしが多い"
25,2024-10-01 14:01:58,Designer,51-200,Technology,Yes,2,Yes,Medium,フィードバック対応,Maybe,Figma,""
26,2024-10-01 14:15:12,Product Manager,11-50,EdTech,Yes,2,Yes,High,教師フィードバックの追跡,Yes,Asana,""
27,2024-10-01 14:28:33,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,インシデント管理,Yes,Jira,"エンタープライズ機能が必要"
28,2024-10-01 14:41:47,Founder,1-10,Startup,Yes,1,Yes,Critical,モバイルですべて実行,Yes,Notion,"スタートアップ創業者 = デスクにいない"
29,2024-10-01 14:55:02,Operations Lead,51-200,Healthcare,No,N/A,Yes,Critical,看護師のタスク連携,Yes,None,"臨床スタッフはモバイルのみ"
30,2024-10-01 15:08:18,Product Manager,201-500,Technology,Yes,2,Yes,High,機能追跡,Yes,Linear,""
31,2024-10-01 15:21:35,Project Manager,51-200,Marketing,Yes,2,Yes,High,キャンペーン追跡,Yes,Asana,"常に出張中"
32,2024-10-01 15:34:49,Designer,11-50,Design Agency,Yes,3,Yes,Medium,クライアント承認,Maybe,Monday,""
33,2024-10-01 15:48:01,Engineering Manager,501-1000,Technology,Yes,2,Yes,Critical,チーム連携,Yes,Linear,"エンジニアチーム全員が望んでいる"
34,2024-10-01 16:01:22,Product Manager,51-200,Fintech,Yes,2,Yes,High,コンプライアンス追跡,Yes,Asana,""
35,2024-10-01 16:14:38,CEO,11-50,Consulting,Yes,1,Yes,Critical,クライアント納品物,Yes,Notion,"コンサルタントはスマホで生きている"
36,2024-10-01 16:27:55,Operations Manager,201-500,Hospitality,No,N/A,Yes,Critical,ホテル運営,Yes,None,"スタッフは一日中フロアにいる"
37,2024-10-01 16:41:08,Product Manager,11-50,Technology,Yes,3,Yes,High,スプリント更新,Maybe,Linear,""
38,2024-10-01 16:54:22,Engineering Lead,51-200,SaaS,Yes,2,Yes,High,デプロイ追跡,Yes,Linear,"オンコールに必要"
39,2024-10-01 17:07:41,Project Manager,201-500,Construction,No,N/A,Yes,Critical,安全チェックリスト,Yes,Procore,"安全 = モバイル必須"
40,2024-10-01 17:20:55,Designer,51-200,E-commerce,Yes,2,Yes,Medium,アセット承認,Maybe,Figma,""
41,2024-10-02 08:15:33,Product Manager,201-500,Technology,Yes,2,Yes,High,ステークホルダー更新,Yes,Asana,""
42,2024-10-02 08:28:47,Founder,1-10,Startup,Yes,1,Yes,Critical,投資家への更新,Yes,Notion,"VCは迅速な返答を期待する"
43,2024-10-02 08:41:02,Engineering Manager,51-200,Technology,Yes,3,Yes,High,コードレビューの状況,Maybe,Linear,""
44,2024-10-02 08:54:18,Operations Lead,501-1000,Logistics,No,N/A,Yes,Critical,車両連携,Yes,None,"ドライバーにアプリが必要"
45,2024-10-02 09:07:35,Product Manager,11-50,Healthcare,Yes,1,Yes,Critical,患者タスク,Yes,Monday,"HIPAAアプリが必要"
46,2024-10-02 09:20:49,Project Manager,51-200,Agency,Yes,2,Yes,High,クライアントプロジェクト,Yes,Asana,""
47,2024-10-02 09:34:01,Designer,201-500,Technology,Yes,2,Yes,Medium,デザインレビュー,Maybe,Figma,""
48,2024-10-02 09:47:22,Engineering Lead,11-50,Startup,Yes,2,Yes,High,バグ追跡,Yes,Linear,"Linearアプリは素晴らしい"
49,2024-10-02 10:00:38,Product Manager,201-500,Financial Services,Yes,2,Yes,Critical,コンプライアンスタスク,Yes,Monday,""
50,2024-10-02 10:13:55,CEO,1-10,Startup,Yes,1,Yes,Critical,すべて,Yes,Notion,"創業者にはモバイルが必要"
51,2024-10-02 10:27:08,Operations Manager,51-200,Manufacturing,No,N/A,Yes,Critical,生産追跡,Yes,None,"工場 = デスクトップなし"
52,2024-10-02 10:40:22,Product Manager,11-50,Technology,Yes,3,Yes,High,機能リクエスト,Maybe,Asana,""
53,2024-10-02 10:53:41,Engineering Manager,201-500,Enterprise,Yes,2,Yes,High,スプリントの進捗,Yes,Jira,""
